mileage,make,model,fuel,gear,offerType,price,hp,year
92800,54,320,6,1,4,6877,122.0,2011
149300,47,278,6,1,4,6900,160.0,2011
96200,46,405,6,1,4,6950,110.0,2011
156000,43,29,6,1,4,6950,156.0,2011
147000,53,112,4,0,4,6950,99.0,2011
91894,46,538,1,1,4,6970,131.0,2011
127500,41,653,6,1,4,6972,116.0,2011
115000,36,24,6,0,4,6980,150.0,2011
104,20,592,1,1,4,6990,86.0,2011
59580,41,406,1,0,4,6990,101.0,2011
84000,54,320,6,1,4,6990,105.0,2011
109000,9,441,6,1,4,6990,141.0,2011
194020,4,86,1,1,4,6999,120.0,2011
72000,54,454,6,1,4,6999,60.0,2011
190000,46,276,1,1,4,6999,150.0,2011
190000,46,332,1,1,4,6999,150.0,2011
85700,19,541,1,1,4,6999,135.0,2011
82000,41,236,6,1,4,7000,101.0,2011
44800,28,452,6,0,4,7850,86.0,2012
81970,54,320,6,1,4,7850,105.0,2012
24000,15,257,6,1,4,7900,105.0,2012
193333,54,239,1,1,4,7900,105.0,2012
113000,54,130,6,1,4,7900,105.0,2012
117000,54,321,6,1,4,7949,105.0,2012
104250,41,110,6,1,4,7950,140.0,2012
151250,43,29,1,1,4,7950,163.0,2012
133500,5,4,1,1,4,7980,143.0,2012
105000,41,110,6,1,4,7980,179.0,2012
114164,20,286,6,1,4,7990,125.0,2012
128000,34,439,1,1,4,7990,90.0,2012
150000,5,4,1,1,4,7999,143.0,2012
160000,34,211,6,1,4,7999,122.0,2012
165000,37,121,1,1,4,8000,109.0,2012
51200,46,538,6,1,4,8000,131.0,2012
107000,41,352,1,1,4,8000,160.0,2012
130000,34,433,6,1,4,8000,98.0,2012
214000,5,32,1,0,4,8199,184.0,2012
73760,41,653,6,1,4,8990,140.0,2013
113000,54,130,6,1,4,8990,160.0,2013
108803,22,670,1,1,4,8990,116.0,2013
7400,41,96,6,1,4,8990,101.0,2013
86980,20,125,6,1,4,8995,120.0,2013
98000,54,326,1,0,4,8999,105.0,2013
98988,20,592,1,1,4,8999,101.0,2013
41124,41,96,6,1,4,8999,101.0,2013
170000,54,585,1,1,4,8999,140.0,2013
80500,5,2,6,1,4,9000,102.0,2013
195327,20,315,1,1,4,9000,140.0,2013
143316,54,585,6,0,4,9000,140.0,2013
98100,47,388,6,1,4,9100,122.0,2013
113000,4,84,6,1,4,9100,86.0,2013
94000,54,326,1,1,4,9200,105.0,2013
68700,9,599,6,1,4,9290,140.0,2013
169500,53,620,1,1,4,9300,126.0,2013
77000,54,324,6,0,4,9300,122.0,2013
45600,20,284,6,1,4,8990,80.0,2014
230000,41,626,1,1,4,8990,140.0,2014
99756,54,454,6,1,4,8990,105.0,2014
84600,53,648,4,0,4,8990,143.0,2014
73000,22,669,6,1,4,8990,125.0,2014
133180,54,326,1,1,4,8990,105.0,2014
22700,54,671,6,1,4,8990,60.0,2014
53000,48,492,6,1,4,8999,105.0,2014
149786,5,3,6,1,4,8999,136.0,2014
197500,54,450,1,1,4,8999,140.0,2014
57000,28,193,6,1,4,9000,99.0,2014
53286,48,283,6,1,4,9100,86.0,2014
84721,53,648,6,0,4,9200,101.0,2014
111000,4,84,6,1,4,9200,122.0,2014
87500,47,348,1,1,4,9290,105.0,2014
55000,48,492,6,1,4,9300,105.0,2014
77000,54,454,6,1,4,9300,90.0,2014
166000,54,326,1,0,4,9400,105.0,2014
55000,20,145,6,1,4,9450,101.0,2014
140000,54,326,1,0,4,9990,110.0,2015
160000,20,286,1,0,4,9999,120.0,2015
28238,41,406,6,1,4,10190,140.0,2015
114327,41,352,1,0,4,10200,131.0,2015
80575,54,454,1,1,4,10299,105.0,2015
79987,20,125,6,0,4,10444,105.0,2015
166554,48,555,1,1,4,10490,170.0,2015
47295,20,145,6,1,4,10490,101.0,2015
90000,41,352,1,1,4,10499,170.0,2015
76800,11,155,6,1,4,10580,110.0,2015
60000,43,15,6,1,4,10750,110.0,2015
9500,22,669,6,1,4,10750,125.0,2015
118000,54,320,1,1,4,10950,150.0,2015
87000,54,320,6,1,4,10950,110.0,2015
137000,5,30,1,1,4,10950,116.0,2015
29000,51,557,6,1,4,8990,94.0,2016
198000,54,450,1,1,4,8999,120.0,2016
192000,49,379,1,1,4,8999,178.0,2016
15000,15,535,6,1,4,9000,90.0,2016
57800,36,11,6,1,4,9250,90.0,2016
86900,20,125,6,1,4,9380,101.0,2016
56617,54,671,6,1,4,9440,90.0,2016
70604,53,648,6,1,4,9490,69.0,2016
68656,53,648,6,1,4,9490,69.0,2016
64783,53,648,6,1,4,9490,69.0,2016
146148,41,110,1,1,4,9495,136.0,2016
106300,41,110,1,1,4,9499,160.0,2016
179200,54,450,1,1,4,9499,120.0,2016
63000,41,96,6,1,4,9500,87.0,2016
154494,43,29,1,1,4,9500,120.0,2016
72500,51,557,6,1,4,9650,136.0,2016
93300,41,110,1,1,4,9680,110.0,2016
96999,41,110,1,1,4,9690,136.0,2016
39990,28,193,6,1,4,9690,101.0,2016
66106,4,86,6,0,4,20990,150.0,2017
68000,28,545,1,0,4,27928,200.0,2017
67000,37,302,1,0,4,34900,170.0,2017
55000,4,89,6,0,4,34905,252.0,2017
74000,57,661,6,1,4,5555,71.0,2017
31500,47,408,6,1,4,5780,60.0,2017
62490,47,408,6,1,4,6390,60.0,2017
100870,54,671,6,1,4,6445,60.0,2017
35450,48,201,6,1,4,6445,60.0,2017
65635,54,671,6,1,4,6490,60.0,2017
83000,53,119,6,1,4,6500,69.0,2017
35000,15,535,6,1,4,6700,90.0,2017
35093,54,671,6,1,4,6750,60.0,2017
66000,19,467,6,1,4,6799,69.0,2017
61000,22,662,6,1,4,6900,67.0,2017
118759,20,284,1,1,4,6990,95.0,2017
31500,57,660,6,1,4,6999,71.0,2017
77403,20,284,1,1,4,7090,75.0,2017
66990,4,90,1,0,4,31880,272.0,2018
73500,4,87,1,0,4,31980,163.0,2018
59990,4,86,1,0,4,32940,218.0,2018
79300,37,303,1,0,4,34775,204.0,2018
46300,4,470,1,0,4,34890,190.0,2018
54496,4,89,1,0,4,35480,231.0,2018
51878,54,580,1,0,4,35490,239.0,2018
13400,12,111,6,0,0,35990,300.0,2018
13710,20,286,6,0,4,26480,150.0,2019
27949,4,86,1,0,4,26880,150.0,2019
22500,20,286,6,0,0,26880,150.0,2019
57501,5,631,1,0,4,26970,190.0,2019
34450,54,580,1,0,4,26980,150.0,2019
35950,54,559,1,0,4,27440,150.0,2019
12178,4,86,6,1,4,27440,150.0,2019
41365,54,450,1,0,4,27490,190.0,2019
31900,37,625,1,0,4,27600,163.0,2019
45700,4,86,1,0,4,27980,150.0,2019
9243,47,111,6,0,4,28250,150.0,2019
8650,20,380,1,0,1,28980,179.0,2019
17615,48,373,6,0,0,28990,150.0,2019
4016,37,299,6,0,4,29111,211.0,2019
9290,20,380,1,0,1,29980,179.0,2019
8650,20,380,1,0,1,29980,179.0,2019
22900,47,98,6,0,4,29990,150.0,2019
2955,4,86,1,0,4,29994,150.0,2019
1060,20,592,1,1,4,30452,131.0,2019
27500,5,32,1,0,4,30675,190.0,2019
100,19,445,6,1,3,10600,69.0,2021
15,19,445,4,1,3,10680,69.0,2021
20,53,119,6,1,3,10823,72.0,2021
15,19,445,4,1,3,10980,69.0,2021
10,53,119,6,1,3,10997,72.0,2021
9,53,119,6,1,3,11490,72.0,2021
100,22,662,6,1,3,11499,67.0,2021
10,53,119,6,1,3,11790,72.0,2021
10,28,452,6,1,3,11950,84.0,2021
10,53,119,6,1,3,11990,72.0,2021
132500,54,320,6,0,4,7800,122.0,2011
69019,43,55,6,1,4,7850,156.0,2011
123600,20,286,6,1,4,7885,150.0,2011
